2024-02-02T17:38:48.741771,Florida,13 - 11,7,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Jonah|Nobi,,,,,,
2024-02-02T17:38:48.741772,Florida,13 - 11,8,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,Bobby|Jonah|Mauricio|Max|Nathan P|Quinn|Will,,,,,,
2024-02-02T17:38:48.741773,Florida,13 - 11,9,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,Ben|Clay|Conor|Julian|Leo J|Leo X|Nathan K,,,,,,
2024-02-02T17:38:48.741774,Florida,13 - 11,10,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,Bobby|Dexter|Jonah|Mauricio|Nathan P|Quinn|Will,,,,,,
2024-02-02T17:38:48.741775,Florida,13 - 11,11,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,1,Ben|Clay|Conor|Julian|Leo J|Max|Nathan K,,,,,,
2024-02-02T17:38:48.741776,Florida,13 - 11,12,FALSE,TRUE,0,0,1,0,0,0,0,0,1,0,0,1,Cullen|Daniel|Declan|Fin|Nathan P|Nobi|Tej,,,,,,
2024-02-02T17:38:48.741777,Florida,13 - 11,13,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Bobby|Clay|Leo X|Mauricio|Max|Quinn|Will,,,,,,
2024-02-02T17:38:48.741778,Florida,13 - 11,14,FALSE,TRUE,0,1,0,0,0,0,0,0,1,0,1,0,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T17:38:48.741779,Florida,13 - 11,15,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,Conor|Dexter|Jonah|Julian|Leo J|Leo X|Nathan K,,,,,,
2024-02-02T17:38:48.741780,Florida,13 - 11,16,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Ben|Bobby|Mauricio|Max|Nathan P|Quinn|Will,,,,,,
2024-02-02T17:38:48.741781,Florida,13 - 11,17,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Jonah|Nobi,,,,,,
2024-02-02T17:38:48.741782,Florida,13 - 11,18,TRUE,FALSE,0,0,0,0,0,0,0,0,0,1,0,1,Ben|Conor|Julian|Leo J|Leo X|Mauricio|Will,,,,,,
2024-02-02T17:38:48.741783,Florida,13 - 11,19,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T17:38:48.741784,Florida,13 - 11,20,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,Cullen|Daniel|Declan|Fin|Jasper|Nathan P|Nobi,,,,,,
2024-02-02T17:38:48.741785,Florida,13 - 11,21,FALSE,FALSE,0,1,0,0,0,0,0,0,1,0,1,1,Bobby|Conor|Julian|Leo J|Leo X|Mauricio|Will,,,,,,
2024-02-02T17:38:48.741786,Florida,13 - 11,22,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T17:38:48.741787,Florida,13 - 11,23,TRUE,FALSE,0,1,0,0,0,0,0,0,1,0,1,0,Bobby|Clay|Dexter|Jonah|Max|Nathan P|Quinn,,,,,,
2024-02-02T17:38:48.741788,Florida,13 - 11,24,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T19:28:49.272852,Brown,12 - 11,1,TRUE,TRUE,0,0,0,0,0,0,0,0,1,1,0,1,Bobby|Conor|Julian|Leo J|Leo X|Mauricio|Will,,,,,,
2024-02-02T19:28:49.272853,Brown,12 - 11,2,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,Ben|Conor|Dexter|Jonah|Julian|Leo J|Nathan P,,,,,,
2024-02-02T19:28:49.272854,Brown,12 - 11,3,FALSE,TRUE,1,0,0,0,0,0,0,0,1,0,0,1,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T19:28:49.272855,Brown,12 - 11,4,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Bobby|Conor|Leo X|Mauricio|Nathan P|Quinn|Will,,,,,,
2024-02-02T19:28:49.272856,Brown,12 - 11,5,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,Cullen|Daniel|Declan|Fin|Jasper|Jonah|Tej,,,,,,
